%time,field.header.seq,field.header.stamp,field.header.frame_id,field.actuate,field.body_name.data,field.use_offset,field.body_offset.position.x,field.body_offset.position.y,field.body_offset.position.z,field.body_offset.orientation.x,field.body_offset.orientation.y,field.body_offset.orientation.z,field.body_offset.orientation.w,field.use_sensor_data,field.sensor_identifier.data
1682977999954237739,1403,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682977999962295016,1404,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682977999971274514,1405,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682977999981456794,1406,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682977999987012293,1407,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682977999999943084,1408,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000004705692,1409,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000012213983,1410,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000021235759,1411,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000029807144,1412,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000040727667,1413,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000045222244,1414,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000053495575,1415,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000065508202,1416,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000070339377,1417,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000080845105,1418,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000087726186,1419,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000098829651,1420,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000103936508,1421,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000112279068,1422,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000120687848,1423,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000128716658,1424,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000140121806,1425,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000144875289,1426,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000153417345,1427,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000161520513,1428,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000170053913,1429,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000178767696,1430,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000186909534,1431,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000195337875,1432,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000203200249,1433,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000211837132,1434,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000220334209,1435,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000228604001,1436,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000241082323,1437,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000245217901,1438,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000253302049,1439,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000262428518,1440,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000270075104,1441,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000279079244,1442,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000287216988,1443,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000295172191,1444,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000303642985,1445,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1682978000312016654,1446,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
