%time,field.header.seq,field.header.stamp,field.header.frame_id,field.actuate,field.body_name.data,field.use_offset,field.body_offset.position.x,field.body_offset.position.y,field.body_offset.position.z,field.body_offset.orientation.x,field.body_offset.orientation.y,field.body_offset.orientation.z,field.body_offset.orientation.w,field.use_sensor_data,field.sensor_identifier.data
1683409358563331917,1150,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358571137966,1151,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358577805693,1152,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358585238979,1153,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358594305376,1154,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358606100634,1155,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358610948813,1156,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358618710312,1157,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358627325638,1158,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358635834828,1159,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358643727565,1160,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358653524879,1161,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358660654850,1162,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358668788808,1163,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358676965557,1164,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358686293285,1165,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358695636068,1166,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358702408966,1167,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358710760504,1168,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358719970598,1169,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358726894243,1170,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358735288753,1171,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358744550756,1172,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358753533119,1173,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358761330672,1174,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358768978734,1175,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358778177942,1176,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358786415585,1177,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358794428744,1178,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358802015470,1179,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358810605162,1180,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358819253181,1181,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358826839222,1182,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358835555732,1183,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358846543983,1184,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358854812393,1185,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358860484524,1186,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358870065325,1187,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358876960754,1188,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358885252829,1189,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358894789373,1190,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358902760021,1191,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358910266237,1192,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358918690558,1193,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358927576059,1194,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358936071569,1195,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358944864963,1196,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358952487371,1197,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358960452167,1198,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358971460520,1199,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358977022281,1200,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358985665091,1201,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409358996084141,1202,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409359006941667,1203,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409359012277429,1204,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409359019241671,1205,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409359029000833,1206,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409359037409512,1207,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409359045550718,1208,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409359052959261,1209,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
1683409359060699082,1210,0,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
